,sepal_length,sepal_width,petal_length,petal_width,class
15,6.7,3.1,4.4,1.4,versicolor
16,5.6,3.0,4.5,1.5,versicolor
17,5.8,2.7,4.1,1.0,versicolor
18,6.2,2.2,4.5,1.5,versicolor
19,5.6,2.5,3.9,1.1,versicolor
20,5.9,3.2,4.8,1.8,versicolor
21,6.1,2.8,4.0,1.3,versicolor
22,6.3,2.5,4.9,1.5,versicolor
23,6.1,2.8,4.7,1.2,versicolor
24,6.4,2.9,4.3,1.3,versicolor
25,6.6,3.0,4.4,1.4,versicolor
26,6.8,2.8,4.8,1.4,versicolor
27,6.7,3.0,5.0,1.7,versicolor
28,6.0,2.9,4.5,1.5,versicolor
29,5.7,2.6,3.5,1.0,versicolor
30,5.5,2.4,3.8,1.1,versicolor
31,5.5,2.4,3.7,1.0,versicolor
32,5.8,2.7,3.9,1.2,versicolor
33,6.0,2.7,5.1,1.6,versicolor
34,5.4,3.0,4.5,1.5,versicolor
35,6.0,3.4,4.5,1.6,versicolor
36,6.7,3.1,4.7,1.5,versicolor
37,6.3,2.3,4.4,1.3,versicolor
38,5.6,3.0,4.1,1.3,versicolor
39,5.5,2.5,4.0,1.3,versicolor
40,5.5,2.6,4.4,1.2,versicolor
41,6.1,3.0,4.6,1.4,versicolor
42,5.8,2.6,4.0,1.2,versicolor
43,5.0,2.3,3.3,1.0,versicolor
44,5.6,2.7,4.2,1.3,versicolor
45,5.7,3.0,4.2,1.2,versicolor
46,5.7,2.9,4.2,1.3,versicolor
47,6.2,2.9,4.3,1.3,versicolor
48,5.1,2.5,3.0,1.1,versicolor
49,5.7,2.8,4.1,1.3,versicolor
0,6.3,3.3,6.0,2.5,virginica
1,5.8,2.7,5.1,1.9,virginica
2,7.1,3.0,5.9,2.1,virginica
3,6.3,2.9,5.6,1.8,virginica
4,6.5,3.0,5.8,2.2,virginica
5,7.6,3.0,6.6,2.1,virginica
6,4.9,2.5,4.5,1.7,virginica
7,7.3,2.9,6.3,1.8,virginica
8,6.7,2.5,5.8,1.8,virginica
9,7.2,3.6,6.1,2.5,virginica
10,6.5,3.2,5.1,2.0,virginica
11,6.4,2.7,5.3,1.9,virginica
12,6.8,3.0,5.5,2.1,virginica
13,5.7,2.5,5.0,2.0,virginica
14,5.8,2.8,5.1,2.4,virginica
15,6.4,3.2,5.3,2.3,virginica
16,6.5,3.0,5.5,1.8,virginica
17,7.7,3.8,6.7,2.2,virginica
18,7.7,2.6,6.9,2.3,virginica
19,6.0,2.2,5.0,1.5,virginica
20,6.9,3.2,5.7,2.3,virginica
21,5.6,2.8,4.9,2.0,virginica
22,7.7,2.8,6.7,2.0,virginica
23,6.3,2.7,4.9,1.8,virginica
24,6.7,3.3,5.7,2.1,virginica
25,7.2,3.2,6.0,1.8,virginica
26,6.2,2.8,4.8,1.8,virginica
27,6.1,3.0,4.9,1.8,virginica
28,6.4,2.8,5.6,2.1,virginica
29,7.2,3.0,5.8,1.6,virginica
30,7.4,2.8,6.1,1.9,virginica
31,7.9,3.8,6.4,2.0,virginica
32,6.4,2.8,5.6,2.2,virginica
33,6.3,2.8,5.1,1.5,virginica
34,6.1,2.6,5.6,1.4,virginica
35,7.7,3.0,6.1,2.3,virginica
36,6.3,3.4,5.6,2.4,virginica
37,6.4,3.1,5.5,1.8,virginica
38,6.0,3.0,4.8,1.8,virginica
39,6.9,3.1,5.4,2.1,virginica
40,6.7,3.1,5.6,2.4,virginica
41,6.9,3.1,5.1,2.3,virginica
42,5.8,2.7,5.1,1.9,virginica
43,6.8,3.2,5.9,2.3,virginica
44,6.7,3.3,5.7,2.5,virginica
45,6.7,3.0,5.2,2.3,virginica
46,6.3,2.5,5.0,1.9,virginica
47,6.5,3.0,5.2,2.0,virginica
48,6.2,3.4,5.4,2.3,virginica
49,5.9,3.0,5.1,1.8,virginica
